climate_variable,avg_sig_corr,max_sig_corr,sig_corr_count,sig_corr_ratio(%)
climate_risk_drought_weighted_score_country_sum_above_1_std_lag_14d,0.576,0.662,23,1.065
climate_risk_drought_ma_7d_cos_above_1_std_lag_14d,0.567,0.609,14,0.624
climate_risk_drought_ma_7d_log1p_above_1_std_lag_14d,0.561,0.6,15,0.668
climate_risk_drought_score_sin_above_1_std_lag_14d,0.56,0.565,5,0.223
climate_risk_heat_stress_score_country_mean_above_1_std_lag_14d,0.56,0.576,2,0.193
climate_risk_drought_score_log1p_above_1_std_lag_14d,0.559,0.565,5,0.223
climate_risk_drought_score_country_mean_above_1_std_lag_14d,0.558,0.644,32,1.437
climate_risk_drought_score_country_max_above_1_std_lag_14d,0.558,0.612,19,0.847
climate_risk_heat_stress_weighted_score_country_sum_above_1_std_lag_14d,0.558,0.575,2,0.187
climate_risk_drought_ma_7d_sin_above_1_std_lag_14d,0.555,0.593,15,0.668
climate_risk_excess_precip_ma_14d_ssqrt_above_1_std_lag_14d,0.554,0.581,6,0.267
climate_risk_drought_max_7d_cos_above_1_std_lag_14d,0.549,0.592,12,0.535
climate_risk_drought_score_ssqrt_above_1_std_lag_14d,0.547,0.55,5,0.223
climate_risk_drought_ma_7d_ssqrt_above_1_std_lag_14d,0.541,0.576,17,0.758
climate_risk_excess_precip_weighted_score_country_sum_above_1_std_lag_14d,0.532,0.568,9,0.401
climate_risk_excess_precip_score_country_std_above_1_std_lag_14d,0.532,0.548,3,0.134
climate_risk_excess_precip_score_country_mean_above_1_std_lag_14d,0.531,0.573,8,0.357
climate_risk_drought_weighted_score_ssqrt_above_1_std_lag_14d,0.528,0.531,5,0.223
climate_risk_heat_stress_score_country_max_above_1_std_lag_14d,0.522,0.522,1,0.078
climate_risk_drought_max_7d_log1p_above_1_std_lag_14d,0.521,0.537,13,0.579
climate_risk_excess_precip_ma_7d_ssqrt_above_1_std_lag_14d,0.519,0.522,3,0.134
climate_risk_unseasonably_cold_score_country_std_above_1_std_lag_14d,0.517,0.525,2,0.142
